URL,Size(Byte),Number of outlinks found,Content-type
https://www.latimes.com/entertainment-arts/hit-man-glen-powell-richard-linklater-sundance-film-festival-123,256918,194,text/html
https://www.latimes.com/entertainment-arts/exhibiting-forgiveness-sundance-film-festival-123,255898,194,text/html
https://www.latimes.com/entertainment-arts/c3j-89y-neo-123,255146,194,text/html
https://www.latimes.com/entertainment-arts/kerry-washington-daughters-sundance-film-festival-123,257873,198,text/html
https://www.latimes.com/entertainment-arts/business/newsletter/2024-01-22/sundance-film-festival-2024-superman-christopher-reeve-daughters-will-and-harper-henry-munoz-in-the-summers-the-wide-shot,349210,229,text/html
https://www.latimes.com/entertainment-arts/clark-gregg-thelma-sundance-film-festival-123,257219,198,text/html
https://www.latimes.com/entertainment-arts/business/newsletter/2024-01-21/wide-shot-sundance-daily-template-the-wide-shot,346670,218,text/html
https://www.latimes.com/entertainment-arts/viq-glen-powell-richard-linklater-hit-man-sundance-film-festival-123,256125,194,text/html
https://www.latimes.com/entertainment-arts/movies/story/2024-01-21/pro-palestinian-protestors-vie-for-hollywoods-attention-at-2024-sundance-film-festival,344290,230,text/html
https://www.latimes.com/entertainment-arts/movies/story/2024-01-26/sundance-film-festival-reviews-a-real-pain-exhibiting-forgiveness-a-different-man,341063,230,text/html
https://www.latimes.com/entertainment-arts/will-ferrell-harper-steele-sundance-film-festival-123,256143,197,text/html
https://www.latimes.com/bestcovery/nutrition-wellness,77482,43,text/html
https://www.latimes.com/bestcovery/haircare,222903,63,text/html
https://www.latimes.com/bestcovery/health-monitors,70747,39,text/html
https://www.latimes.com/bestcovery/best-aloe-vera%20-gel,128697,60,text/html
https://www.latimes.com/bestcovery/protect-your-skin-this-summer-with-the-best-face-sunscreen,107344,50,text/html
